clean_text,sentiment
pelayanan buruk tidak ada respon warna baju tidak sesuai di wa dan chat via toped enggak beda jauh sama yang saya punya beli toko ini,0
barang enggak bisa berfungsi dengan baik,0
voucher netflix zonk kadang bisa kadang enggak ribet banget verifikasinya mana cs slow respon pula menyesal beli disini enggak rekomen buang duit saja titik,0
astaga beli lays kok begini amat mengira dapat banyak isinya taunya angin doang keripiknya dikit banget cuma secuil enggak sampai stgh bungkus rasa juga sudah beda drastis enggak enak kayak dulu sudah enggak gurih renyah begitu kualitasnya parah banget anjlok sekarang enggak rekomen blas beli lays mending snack lain yang isinya benaran menyesal buang duit serius,0
dispenser zonk air enggak dingin sama sekali panasnya juga lama plastiknya tipis banget ringkih menyesal beli enggak rekomen deh pokoknya bikin emosi saja,0
ini remote control mobil parah banget baru dipakai sebentar sudah langsung enggak menyambung remote nya signalnya putus terus kadang enggak bisa maju mundur samsek baterainya juga cepat habis padahal baru cas penuh menyesal beli buang duit doang enggak sesuai ekspektasi banget kualitas nya jelek parah,0
gila isotoniknya manis banget kaya gula cair haus makin parah enggak hilang sama sekali bikin eneg mana tawar lagi rasanya benar menyesal beli,0
majalahnya membosankan banget isinya bahas itu mulu enggak ada yang baru fotonya juga biasa saja enggak sesuai harga kertasnya tipis kayak murahan menyesal beli enggak rekomen samsek buang duit,0
cat airnya mengecewakan banget warna pudar tipis kayak air cucian susah banget dapat warna pekat dilapis berkali hasilnya tetap saja jelek bergaris pigmennya enggak ada kayak cat air murahan menyesal beli produk ini buang waktu uang saja enggak rekomen sama sekali,0
parah banget langganan spotify bayar mahal padahal sering error lagu sering enggak mau muter buffering terus menyesal banget deh beli enggak worth itu sama sekali enggak rekomen buang duit saja deh,0
parah sih ini ipun batre boros banget kamera juga enggak sebagus yang dibilang overprice habis menyesal beli mending hp android spek sama harga jauh lebih murah enggak rekomen buat yang budget terbatas toped payah seller juga slow respon titik,0
pengiriman cepat hanya hpx tidak bisa putar musik tobol tobolx kurang bagus,0
kibot wireless ini parah banget sumpah delaynya bikin emosi mengetik apa keluar kapan koneksi putus terus pekerjaan enggak lancar batre cepat habis menyesal deh beli kualitas enggak sesuai harga buang duit doang enggak rekomen sama sekali,0
plisketnya tipis banget menerawang parah jahitannya enggak rapi banyak benang lepas warna enggak sesuai foto sudah begitu bahannya panas bikin gatel menyesal banget beli disini enggak rekomen benar zonk,0
pelayanannya yang sangat mengecewakan padahal gojek instant tapi besoknya baru dikirim di chat balasnya lama banget no rekomen kalau yang buru,0
sudah diterima pesanannya tkyu,0
kualitasnya parah spiral gampang penyok kertasnya juga tipis banget enggak rekomen sama sekali kecewa,0
soundbar ini bikin pusing banget koneksi bluetooth putus mulu remote control susah banget dipakai kadang enggak respon fitur banyak yang enggak fungsi sangat mengecewakan enggak sesuai harganya enggak guna beli,0
enggak bisa di pakai kecewa deh,0
bahan tipis kayaknya enggak bisa di pakai,0
maaf bintang nya cuman casan enggak bisa di pakai sudah saya coba berkali kali baru minta batok panas banget kalo pakai takut meledak untuk pngiriman dan respon oke,0
hoodie zonk baru dicuci sekali langsung melar kayak karet kolor jahitan amburadul benang brantakan dimana enggak rekomen banget deh menyesal beli disini bikin ilfil buang duit saja titik,0
bahan nya kurang rapi,0
maaf kualitas buruk bahan tipis lingkar kepala enggak bisa disetel kecil,0
pelayanan buruk,0
pengemasan cuma bubble lapis bahkan jamnya masih kelihatan dari luar lain kali tolong diperhatikan packingannya,0
sangat tidak puas baik produknya dan pelayanannya barang cacat pada kondisi tertutup saya mejanya bisa menutup rapat itu dikarenakan pemasangan engselnya sejajar tinggi pendek ini yang menyebabkan listnya sobek karena dipaksa saat daun jadi fix nya pabrik bukan masalah pengiriman ternyata komplain enggak diterima oleh toko penjual suruh hubungi sendiri ke kurirnya,0
seller menggapangkan dan menyepelekan pembeli pengiriman lama pelayanan tidak memuaskan bilang wajar lah dikirim kan barang diskon sudah pas di pilih up gagal follow lagi sama sampai saya complain baru kerjain untuk dikirim kualitas standar intinya bisa beli di mana saja sejenis tetapi sangat menyesal berhubungan dengan seperti ini,0
yang dipesan datang barangnya beda tidak ada konfirmasi mau diretur juga mahal di ongkos sudah lah,0
menyesal banget beli dress ini warnanya enggak sesuai foto jahitannya amburadul bahannya panas banget kayak lap kompor sudah begitu ukurannya enggak jelas kayak baju badut enggak rekomen sama sekali deh mending beli di pasar malam saja lebih bagus,0
bikin roti malah gosong mulu sudah mengikuti resep tetap saja bantet adonan lengket parah bersihinnya ribet banget enggak rekomen deh menyesal beli alat pembuat roti ini bikin emosi saja tiap hari mana mahal pula titik,0
