review_text,sentiment
pelayanan buruk tidak ada respon warna baju tdk sesuai di wa dan chat via toped gg beda jauh sama yg saya punya beli d toko ini,0
barang ga bisa berfungsi dg baik .,0
"Voucher Netflix zonk! Kdg bs kdg gk, ribet bgt verifikasinya. Mana CS slow respon pula. Nyesel beli disini, gk rekomen! Buang2 duit aja. Titik.",0
"Astaga beli lays kok gini amat. Kirain dpt byk isinya taunya angin doang, keripiknya dikit bgt cuma secuil gk sampe stgh bungkus. Rasa jg udh beda drastis gk enak kayak dlu udh gk gurih renyah gitu. Kualitasnya parah bgt anjlok skrg. Gk rekomen blas beli lays mending snack lain yg isinya beneran. Nyesel buang duit serius.",0
"Dispenser zonk! Air gk dingin sama sekali, panasnya jg lama. Plastiknya tipis bgt, ringkih. Nyesel beli, gk rekomen deh pokoknya. Bikin emosi aja!",0
"Ini remote control mobil parah bgt. Baru dipake sebentar udah langsung gk nyambung remote nya. Signalnya putus2 terus, kadang gk bisa maju mundur samsek. Baterainya jg cepet abis, padahal baru cas penuh. Nyesel beli, buang2 duit doang. Gk sesuai ekspektasi bgt. Kualitas nya jelek parah.",0
"Gile, isotoniknya manis bgt ky gula cair! Haus makin parah, gk ilang sama sekali. Bikin eneg, mana tawar lg rasanya. Bnr2 nyesel beli.",0
"Majalahnya bosenin bgt isinya, bahas itu2 mulu gk ada yg baru. Foto2nya jg biasa aja, gk sesuai harga. Kertasnya tipis, kaya murahan. Nyesel beli, gk rekomen samsek. Buang2 duit.",0
"Cat airnya mengecewakan bgt. Warna pudar & tipis kaya air cucian. Susah bgt dapet warna pekat, dilapis berkali2 hasilnya ttp aja jelek & bergaris. Pigmennya gk ada, kaya cat air murahan. Nyesel beli produk ini, buang2 waktu & uang aja. Gak rekomen sama skali.",0
"Parah bgt langganan spotify, bayar mahal padahal sering error, lagu sering gak mau muter, buffering terus, nyesel bgt dah beli gk worth it sama sekali gk rekomen buang duit aja deh.",0
"Parah sih ini ipun, batre boros bgt! Kamera jg gk sebagus yg dibilang. Overprice abis, nyesel beli. Mending hp android spek sama, harga jauh lbh murah. Gk rekomen buat yg budget terbatas. Toped payah, seller jg slow respon. Titik.",0
pengiriman cepat hanya hpx tdk bisa putar musik n tobol tobolx kurang bgs,0
"Kibot wireless ini parah bgt sumpah. Delaynya bikin emosi ngetik apa keluar kapan. Koneksi putus2 terus, kerjaan gk lancar. Batre cepet abis. Nyesel deh beli, kualitas gk sesuai harga. Buang duit doang. Gk rekomen sama skali.",0
"Plisketnya tipis bgt, nerawang parah! Jahitannya gk rapih, byk benang lepas. Warna gk sesuai foto, udh gtu bahannya panas bikin gatel. Nyesel bgt beli disini, gk rekomen! Bnr2 zonk.",0
"pelayanannya yang sangat mengecewakan , padahal gojek instant tp besoknya baru dikirim di chat balasnya lama bangett no rekomen kl yg buru",0
sudah diterima pesanannya . tkyu,0
"Kualitasnya parah, spiral gampang penyok, kertasnya jg tipis bgt. Gk rekomen sama sekali. Kecewa.",0
"Soundbar ini bikin pusing bgt! Koneksi bluetooth putus2 mulu, remote control susah bgt dipake, kadang gk respon. Fitur2 byk yg gk fungsi. Sangat mengecewakan, gk sesuai harganya. Gak guna beli.",0
gabisa di pakai kcewa dah,0
bahan tipis . kayaknya ga bisa di pakai,0
maaf bintang nya cmn 2 casan gk bisa di pakai sudah saya coba berkali kali baru 30 mnt batok panas bgt klo pake takut meledak untuk pngiriman dan respon oke,0
"Hoodie zonk!  Baru dicuci sekali lgsg melar kyk karet kolor! Jahitan amburadul, benang brantakan dimana2. Gk rekomen bgt deh, nyesel beli disini! Bikin ilfil, buang2 duit aja.  Titik.",0
bahan nya kurang rapi,0
"maaf kualitas buruk , bahan tipis lingkar kepala gak bisa disetel kecil",0
"pelayanan buruk , .",0
"pengemasan cuma bubble 1 lapis, bahkan jamnya masih kelihatan dari luar lain kali tolong diperhatikan packingannya",0
"sangat tidak puas , baik produknya dan pelayanannya barang cacat pada kondisi tertutup saya mejanya bisa menutup rapat itu dikarenakan pemasangan engselnya sejajar 1 tinggi pendek ini yg menyebabkan listnya sobek krn dipaksa saat daun . jadi fix nya pabrik bukan masalah pengiriman ternyata komplain ga diterima oleh toko penjual suruh hubungi sendiri ke kurirnya",0
"seller menggapangkan dan menyepelekan pembeli. pengiriman lama, pelayanan tidak memuaskan bilang wajar lah dikirim kan barang diskon sudah pas di pilih up gagal follow lagi sama sampai saya complain baru kerjain untuk dikirim kualitas standar intinya bisa beli di mana saja sejenis tetapi sangat menyesal berhubungan dengan seperti ini",0
"yang dipesan datang barangnya beda, tidak ada konfirmasi mau diretur juga mahal di ongkos sudah lah",0
"Nyesel bgt beli dress ini! Warnanya gk sesuai foto, jahitannya amburadul, bahannya panas bgt kayak lap kompor! Udah gitu, ukurannya gk jelas, kayak baju badut. Gk rekomen sama sekali deh! Mending beli di pasar malem aja, lebih bgs.",0
"Bikin roti malah gosong mulu! Udah ikutin resep, tetep aja bantet. Adonan lengket parah, bersihinnya ribet bgt. Gk rekomen deh, nyesel beli alat pembuat roti ini. Bikin emosi aja tiap hari. Mana mahal pula! Titik.",0
"Catokannya bikin rambut kering bgt, malah bercabang. Panasnya gk stabil, kadang panas bgt kadang dingin. Nyesel bgt beli produk murahan kaya gini. Gk rekomen.",0
"Thermometer digitalnya zonk! Masa suhu badan anakku kebaca 45°C?! Mana batrenya boros bgt lagi. Gk rekomen deh, nyesel beli disini. Bikin panik doang! Titik.",0
disuru pilih aromanya tapi yg dikirim gak sesuai . coba donk klo dagang online pembeli adalah raja belinya pake uang kok tdk minta,0
kaca malah jadi buram . cairan ini baunya seperti porstex hati dalam membeli,0
"Ampun deh ini kettle stainlesnya. Baru pake seminggu udah ada karat di dalemnya! Handle jg cepet panas, bahaya bgt. Panasin airnya juga lamaa, gk sesuai iklan. Kualitasnya parah bgt, nyesel beli. Gk rekomen deh.",0
"Sumpah zonk bgt top up di sini. Udah nunggu lama trnyata diamond yg masuk slah, jumlahnya kurang dr yg dipesan. Komplain jg susah bgt responsnya. Rugi waktu sm duit. Parah parah gk amanah sellernya. Gk rekomen sama sekali deh buat yg mau top up FF. Nyesel bgt asli.",0
earphone tidak berfungsi sudah di cash,0
gx jelek . dikirim sesuai warna pemesan chat pesanan jg sudah sy sertakan catatan kirim born tp recomended cr toko ada di penjual baca detail,0
"Nyesel pol beli ipin ini! Batre boros bgt, kamera burem di low light, lemot pula. Udah gitu, update iOS malah bikin makin parah. Gk rekomen! Titik.",0
"Astaga! Flat shoesnya kyk kardus, keras bgt! Solnya tipis, gk nyaman dipake jalan jauh. Nyesel beli disini, mana pengirimannya lama pula... titik",0
"Tablet apaan nih? Batre boros bgt! Aplikasi sering crash, bikin kesel. Touchscreen kadang ngaco, ngetik jadi berantakan. Nyesel beli, gk rekomen deh. Buang2 duit aja. Titik.",0
"Parah! Bru kali ini beli spring bed zonk bgt. Pegel smua badan, gk bs bobo nyenyak. Bikin sakit pinggang. Nyesel puol beli ini. Kapok! titik",0
"barang yg di pesan tidak sesuai pesanan . 2 jenis datang cuman satu , rugi banyak",0
